GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC08,HC01_EST_VC09,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_EST_VC15
Id,Id2,Geography,Total; Estimate; Population 25 years and over,Total; Estimate; Population 25 years and over - Less than 9th grade,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),"Total; Estimate; Population 25 years and over - Some college, no degree",Total; Estimate; Population 25 years and over - Associate's degree,Total; Estimate; Population 25 years and over - Bachelor's degree,Total; Estimate; Population 25 years and over - Graduate or professional degree
8600000US00601,00601,ZCTA5 00601,11881,2992,1423,3173,1586,615,1720,372
8600000US00602,00602,ZCTA5 00602,27575,6988,3067,5774,2338,3499,4203,1706
8600000US00603,00603,ZCTA5 00603,35946,7110,3812,9690,3933,3147,5981,2273
8600000US00606,00606,ZCTA5 00606,4249,1362,529,1515,233,155,385,70
8600000US00610,00610,ZCTA5 00610,19249,4312,1959,6510,1969,1598,2266,635
8600000US00612,00612,ZCTA5 00612,43734,7615,3609,12113,6039,3546,8055,2757
8600000US00616,00616,ZCTA5 00616,7736,1449,824,2666,899,832,890,176
8600000US00617,00617,ZCTA5 00617,16510,3588,1153,5508,1864,1773,2170,454
8600000US00622,00622,ZCTA5 00622,5095,1031,547,1393,744,381,743,256
8600000US00623,00623,ZCTA5 00623,29815,5585,3210,7481,2932,3037,5895,1675
8600000US00624,00624,ZCTA5 00624,15755,3032,1866,4878,1752,1474,2297,456
8600000US00627,00627,ZCTA5 00627,22942,4854,2350,6055,2997,1990,3632,1064
8600000US00631,00631,ZCTA5 00631,1221,368,191,263,195,56,136,12
8600000US00637,00637,ZCTA5 00637,16467,3368,1400,5494,1768,1124,2755,558
8600000US00638,00638,ZCTA5 00638,11994,3014,1270,3726,1156,1288,1361,179
8600000US00641,00641,ZCTA5 00641,19946,4275,2117,5575,2654,1696,3028,601
8600000US00646,00646,ZCTA5 00646,25379,3764,2287,6534,3221,2017,5365,2191
8600000US00647,00647,ZCTA5 00647,4132,869,569,1407,467,156,512,152
8600000US00650,00650,ZCTA5 00650,9560,1654,966,3841,1096,1026,908,69
8600000US00652,00652,ZCTA5 00652,2637,508,331,714,345,188,451,100
8600000US00653,00653,ZCTA5 00653,8163,1594,1110,2953,696,554,941,315
8600000US00656,00656,ZCTA5 00656,13601,2581,1443,4100,1382,1525,2129,441
8600000US00659,00659,ZCTA5 00659,28384,6300,3157,6140,2934,3391,4760,1702
8600000US00660,00660,ZCTA5 00660,12109,2260,1131,3835,1441,725,2069,648
8600000US00662,00662,ZCTA5 00662,29179,5940,3023,8698,3494,2263,4415,1346
8600000US00664,00664,ZCTA5 00664,10169,2249,760,3701,1204,668,1200,387
8600000US00667,00667,ZCTA5 00667,17323,4429,2451,4304,1693,1829,1846,771
8600000US00669,00669,ZCTA5 00669,18753,5288,2192,4323,2536,988,2714,712
8600000US00670,00670,ZCTA5 00670,6244,2063,868,1667,429,235,810,172
8600000US00674,00674,ZCTA5 00674,28356,5742,2528,7401,3386,2963,5137,1199
8600000US00676,00676,ZCTA5 00676,25785,6735,1973,7737,3034,1384,3765,1157
8600000US00677,00677,ZCTA5 00677,10608,2377,1373,2315,835,1517,1681,510
8600000US00678,00678,ZCTA5 00678,18064,3571,1814,4852,2302,2101,2741,683
8600000US00680,00680,ZCTA5 00680,34616,7312,3920,11049,4070,1694,4654,1917
8600000US00682,00682,ZCTA5 00682,20509,3336,2237,5825,2614,1196,3490,1811
8600000US00683,00683,ZCTA5 00683,22269,4517,2218,6648,2411,1382,3713,1380
8600000US00685,00685,ZCTA5 00685,28051,8662,2658,6512,3454,1687,4246,832
8600000US00687,00687,ZCTA5 00687,20617,4487,2335,5874,2613,1947,2604,757
8600000US00688,00688,ZCTA5 00688,9181,1785,1164,3037,980,843,1077,295
8600000US00690,00690,ZCTA5 00690,3699,725,363,815,176,286,984,350
8600000US00692,00692,ZCTA5 00692,23998,4288,3889,5552,3372,2313,3260,1324
8600000US00693,00693,ZCTA5 00693,39533,7885,9489,4956,4671,4746,6023,1763
8600000US00694,00694,ZCTA5 00694,77,49,0,0,13,15,0,0
8600000US00698,00698,ZCTA5 00698,27066,6151,2713,7836,3113,1942,4152,1159
8600000US00703,00703,ZCTA5 00703,18918,4678,2114,5967,2165,1492,2015,487
8600000US00704,00704,ZCTA5 00704,5073,873,674,1457,553,453,734,329
8600000US00705,00705,ZCTA5 00705,16678,2959,1527,5332,2267,1122,2770,701
8600000US00707,00707,ZCTA5 00707,7965,1924,966,2047,1047,660,1074,247
8600000US00714,00714,ZCTA5 00714,12414,2147,998,4216,1580,1395,1619,459
8600000US00715,00715,ZCTA5 00715,2466,784,327,618,292,214,177,54
8600000US00716,00716,ZCTA5 00716,21172,3001,1664,5523,2728,1588,4562,2106
8600000US00717,00717,ZCTA5 00717,10972,1434,854,3177,1454,1102,1929,1022
8600000US00718,00718,ZCTA5 00718,17165,3686,1718,4784,2084,1467,2897,529
8600000US00719,00719,ZCTA5 00719,20173,4198,1951,5320,3381,2143,2663,517
8600000US00720,00720,ZCTA5 00720,14506,3878,1614,4545,1421,777,1860,411
8600000US00723,00723,ZCTA5 00723,12532,2852,1234,3903,1888,840,1381,434
8600000US00725,00725,ZCTA5 00725,58354,8605,5034,16780,7414,5246,11100,4175
8600000US00727,00727,ZCTA5 00727,38279,5239,2443,8635,4753,4209,8770,4230
8600000US00728,00728,ZCTA5 00728,26945,4121,2356,8329,3288,2662,4872,1317
8600000US00729,00729,ZCTA5 00729,34701,6134,3254,10511,3763,4180,5257,1602
8600000US00730,00730,ZCTA5 00730,23257,4096,2483,7381,2358,1742,3591,1606
8600000US00731,00731,ZCTA5 00731,9970,2447,814,3460,792,547,1638,272
8600000US00735,00735,ZCTA5 00735,8908,1260,935,2960,1310,780,1061,602
8600000US00736,00736,ZCTA5 00736,34298,6841,2702,10894,3417,2700,5460,2284
8600000US00738,00738,ZCTA5 00738,22191,2776,2037,7219,3618,1743,3844,954
8600000US00739,00739,ZCTA5 00739,25230,3991,1949,8294,3104,2177,4257,1458
8600000US00740,00740,ZCTA5 00740,895,105,140,394,67,92,51,46
8600000US00741,00741,ZCTA5 00741,3984,493,415,1343,818,511,326,78
8600000US00745,00745,ZCTA5 00745,36059,5725,3518,11197,4449,4134,5252,1784
8600000US00751,00751,ZCTA5 00751,14830,2731,1643,5199,1642,1239,1743,633
8600000US00754,00754,ZCTA5 00754,26865,6466,2411,7770,2799,2477,3697,1245
8600000US00757,00757,ZCTA5 00757,14540,2397,1207,4558,1588,1274,2518,998
8600000US00765,00765,ZCTA5 00765,6127,1244,820,2029,530,429,695,380
8600000US00766,00766,ZCTA5 00766,15805,3547,1487,5465,1624,1019,2163,500
8600000US00767,00767,ZCTA5 00767,24443,5978,2383,6691,3054,2652,2851,834
8600000US00769,00769,ZCTA5 00769,26409,4794,2700,8642,2689,2023,4099,1462
8600000US00771,00771,ZCTA5 00771,25765,4236,2207,8489,3636,2526,3428,1243
8600000US00772,00772,ZCTA5 00772,13935,2420,1644,5587,1159,1526,1269,330
8600000US00773,00773,ZCTA5 00773,13005,1916,1366,4435,1689,1181,1893,525
8600000US00775,00775,ZCTA5 00775,1143,334,118,373,115,88,87,28
8600000US00777,00777,ZCTA5 00777,26511,4335,1991,7834,2998,3353,4623,1377
8600000US00778,00778,ZCTA5 00778,30999,4183,2640,7203,3242,3481,7077,3173
8600000US00780,00780,ZCTA5 00780,8589,1498,646,2022,840,661,1968,954
8600000US00782,00782,ZCTA5 00782,12228,2976,1559,3793,1315,1011,1184,390
8600000US00783,00783,ZCTA5 00783,23016,4843,2462,6882,3136,2278,2716,699
8600000US00784,00784,ZCTA5 00784,27962,4370,2798,10005,3519,1942,4304,1024
8600000US00786,00786,ZCTA5 00786,258,41,38,132,0,47,0,0
8600000US00791,00791,ZCTA5 00791,34409,5821,3130,10430,3713,3179,5677,2459
8600000US00794,00794,ZCTA5 00794,18877,3502,2219,5684,2493,1418,2914,647
8600000US00795,00795,ZCTA5 00795,30063,5103,3362,9059,3538,2592,4940,1469
8600000US00901,00901,ZCTA5 00901,4813,646,534,885,555,391,1093,709
8600000US00906,00906,ZCTA5 00906,57,0,0,0,7,0,16,34
8600000US00907,00907,ZCTA5 00907,13519,1273,1114,2250,1478,931,3478,2995
8600000US00909,00909,ZCTA5 00909,3819,608,303,907,610,278,638,475
8600000US00911,00911,ZCTA5 00911,5823,529,330,991,688,389,1696,1200
8600000US00912,00912,ZCTA5 00912,4197,727,299,997,535,283,894,462
8600000US00913,00913,ZCTA5 00913,4423,706,618,1353,553,345,467,381
8600000US00915,00915,ZCTA5 00915,19727,5428,2667,6209,1797,1521,1623,482
8600000US00917,00917,ZCTA5 00917,13893,2922,1595,3204,1562,1662,1975,973
8600000US00918,00918,ZCTA5 00918,11816,1078,689,1979,1067,1360,2853,2790
8600000US00920,00920,ZCTA5 00920,13052,1753,1034,2833,1857,1703,2820,1052
8600000US00921,00921,ZCTA5 00921,25572,3515,2260,6152,2774,4018,4884,1969
8600000US00923,00923,ZCTA5 00923,17996,3497,2245,4489,2384,1754,2487,1140
8600000US00924,00924,ZCTA5 00924,35131,5114,3308,8657,5380,3708,6124,2840
8600000US00925,00925,ZCTA5 00925,4177,850,592,826,557,256,738,358
8600000US00926,00926,ZCTA5 00926,73623,7045,4009,13499,9593,7380,19003,13094
8600000US00927,00927,ZCTA5 00927,10786,496,331,1587,1226,1062,3428,2656
8600000US00934,00934,ZCTA5 00934,47,0,0,0,0,0,0,47
8600000US00936,00936,ZCTA5 00936,711,252,67,241,86,11,54,0
8600000US00949,00949,ZCTA5 00949,52914,6494,4389,15234,8489,5542,9969,2797
8600000US00950,00950,ZCTA5 00950,0,0,0,0,0,0,0,0
8600000US00951,00951,ZCTA5 00951,15,7,0,8,0,0,0,0
8600000US00952,00952,ZCTA5 00952,6303,1178,656,1978,1088,561,680,162
8600000US00953,00953,ZCTA5 00953,47136,6555,3541,11549,6129,4899,10915,3548
8600000US00956,00956,ZCTA5 00956,50649,7919,4783,12852,8893,4497,9325,2380
8600000US00957,00957,ZCTA5 00957,28792,4156,2362,7094,5177,2875,5418,1710
8600000US00959,00959,ZCTA5 00959,33640,3073,2224,7080,6424,3460,8085,3294
8600000US00960,00960,ZCTA5 00960,1767,352,461,638,211,71,31,3
8600000US00961,00961,ZCTA5 00961,22687,2997,1608,4295,3759,2040,5598,2390
8600000US00962,00962,ZCTA5 00962,13381,2598,1376,4081,1853,1302,1643,528
8600000US00965,00965,ZCTA5 00965,5799,1272,730,2148,672,440,439,98
8600000US00966,00966,ZCTA5 00966,11628,599,260,1113,1216,1021,4225,3194
8600000US00968,00968,ZCTA5 00968,3039,83,68,338,282,189,1163,916
8600000US00969,00969,ZCTA5 00969,30792,1720,912,3968,3478,2384,10618,7712
8600000US00971,00971,ZCTA5 00971,20440,4006,2290,4701,2594,2036,3450,1363
8600000US00976,00976,ZCTA5 00976,41312,4765,2682,9710,5380,4246,10610,3919
8600000US00979,00979,ZCTA5 00979,12273,875,597,2060,1812,1080,3633,2216
8600000US00982,00982,ZCTA5 00982,10545,1314,808,2875,1498,1462,1901,687
8600000US00983,00983,ZCTA5 00983,26502,2760,1750,7227,4714,3097,5060,1894
8600000US00985,00985,ZCTA5 00985,23342,3022,1662,6861,3740,3006,3753,1298
8600000US00987,00987,ZCTA5 00987,40144,4440,2734,9526,5592,4799,9554,3499
8600000US01001,01001,ZCTA5 01001,12865,307,788,3802,2862,1501,2218,1387
8600000US01002,01002,ZCTA5 01002,13296,297,286,1636,1371,669,3230,5807
8600000US01003,01003,ZCTA5 01003,188,0,30,12,90,10,23,23
8600000US01005,01005,ZCTA5 01005,3453,47,101,1405,665,408,483,344
8600000US01007,01007,ZCTA5 01007,9891,203,553,2305,1627,1051,2254,1898
8600000US01008,01008,ZCTA5 01008,897,0,38,298,214,97,149,101
8600000US01009,01009,ZCTA5 01009,340,41,33,96,89,23,47,11
