created,description,distance,duration,event_url,fee.accepts,fee.amount,fee.currency,fee.description,fee.label,fee.required,group.created,group.group_lat,group.group_lon,group.id,group.join_mode,group.name,group.urlname,group.who,headcount,how_to_find_us,id,maybe_rsvp_count,name,photo_url,rsvp_limit,status,time,updated,utc_offset,venue.address_1,venue.address_2,venue.address_3,venue.city,venue.country,venue.id,venue.lat,venue.localized_country_name,venue.lon,venue.name,venue.phone,venue.repinned,venue.state,venue.zip,visibility,waitlist_count,why,yes_rsvp_count,timestamp_event,timestamp_event_weekday,category
1510668131000,"<p><b>""</b><i>Speaking</i><b> Opportunities are </b><i>Business</i><b>, </b><i>Career</i><b>, and </b><i>Leadership</i><b> Opportunities.""</b><br/>Learn how to improve your presentation skills!</p> <p><img src=""https://secure.meetupstatic.com/photos/event/5/8/7/0/600_466162640.jpeg"" /></p> <p><b><a href=""https://www.meetup.com/NO-SWEAT-Public-Speaking/events/245104593/"">RSVP Today</a></b> and don't miss out next Meetup Event.</p> <p>Discussions continue on improving our Public Speaking and Presentation Skills.</p> <p>Join us Monday, December 11th, @ 6:30 PM.<br/>Arrive early and network.</p> <p><br/>RSVP <b><a href=""https://www.meetup.com/NO-SWEAT-Public-Speaking/events/245104593/"">HERE</a></b></p> <p><br/>Questions? <br/>Contact me: [masked]</p>",5.827788352966309,,https://www.meetup.com/NO-SWEAT-Public-Speaking/events/245104593/,wepay,10.0,USD,per person,price,1.0,1413754692000,38.65999984741211,-90.31999969482422,17728182,open,"""NO SWEAT Public Speaking!""",NO-SWEAT-Public-Speaking,Public Speakers and Wannabes,0,Great Location and Sponsor!   RSVP Now!,245104593,0,Take Your Presentations from Blah to AH!,,35.0,upcoming,1513038600000,1510668362000,-21600000,2065 Walton Road,,,St Louis,us,24832852.0,38.692791,USA,-90.346954,Medici MediaSpace,,False,MO,,public,0,,5,2017-12-11 18:30:00,1,career/business
1511046955000,"<p>In December, please join our friends at the JavaScriptKC meetup for some lightning talks. Three of our Angular speakers will be presenting their own talks at the event.</p> <p>Steven Barnhurst - Write Node in Typescript with Nestjs</p> <p>Alisa Duncan - Tips and Tricks for Testing Angular Apps</p> <p>Avindra Fernando - Intro to Front End Automation: What Webpack can do for you</p> <p>Please visit and RSVP on JavaScript KC as well: <a href=""https://www.meetup.com/JavaScriptKC/events/242781878/"" class=""linkified"">https://www.meetup.com/JavaScriptKC/events/242781878/</a>.</p>",15.563825607299805,10800000.0,https://www.meetup.com/angularkc/events/245218395/,,,,,,,1508170677000,39.099998474121094,-94.5999984741211,26284491,open,Angular KC,angularkc,Angulaires,0,,245218395,0,Angular KC and JavaScript KC Lightning Talks,,,upcoming,1513125000000,1511839465000,-21600000,4210 Shawnee Mission Pkwy,,,Fairway,us,14480552.0,39.028881,USA,-94.634811,C2FO,,False,KS,66205,public,0,,17,2017-12-12 18:30:00,2,error
1508811784000,"<p>Goal Setting - Make 2018 Different - The Year You Take ACTION on Your Goals! </p> <p>December 9th,[masked]:00AM to 12:00PM </p> <p>Location: WeWork Northern Liberties 1010 North Hancock Street, Philadelphia, PA </p> <p>Sponsor: Joseph V. Scorese – Firstrust Bank &amp; Elsinore Business Associates </p> <p>Presentation: Prepare for 2018: Goal Setting Workshop </p> <p>Speaker: Joseph V. Scorese – Firstrust Bank &amp; Elsinore Business Associates</p> <p> By the end of this practical hands-on workshop you will accomplish: </p> <p>Goal Setting - Make 2018 Different - The Year You Take ACTION on Your Goals! In this section, we'll focus on the 10 steps of effective goal setting. We'll show you how to create a balanced and successful life by goal setting in daily, short-term and long-term increments - in all 8 areas of your life. </p> <p>Beliefs Writing Workshop - </p> <p>Change Your Life By Changing Your Thoughts Have you heard of The Secret and Law of Attraction? We have tens of thousands of thoughts per day and around 80% of those thoughts are negative. So, what can you do about it? Belief writing or affirmations are a powerful tool to rewrite your own negative beliefs that are holding you back, whether you admit it, realize it, or not. This is not just “positive thinking,” it's behavioral change and real results.</p> <p><a href=""https://www.eventbrite.com/e/prepare-for-2018-goal-setting-workshop-tickets-39209079412"" class=""linkified"">https://www.eventbrite.com/e/prepare-for-2018-goal-setting-workshop-tickets-39209079412</a></p>",18.786399841308594,7200000.0,https://www.meetup.com/philadelphiasouthjerseyrealestatenetwork/events/244472929/,,,,,,,1333407986000,39.959999084472656,-75.1500015258789,3595272,open,Philadelphia/South Jersey Real Estate Network,philadelphiasouthjerseyrealestatenetwork,Professionals in the Business,0,,244472929,0,Prepare for 2018: Goal Setting Workshop,,,upcoming,1512831600000,1508811822000,-18000000,1010 N Hancock Street,,,Philadelphia,us,24873923.0,39.965733,USA,-75.13974,WeWork,,False,PA,,public,0,,5,2017-12-09 09:00:00,6,career/business
1396011370000,"<p> </p> <p> </p> <p> </p> <p> </p> <p> </p> <p> </p> <p>



I invite you to join us for dinner!<br/>Typically, there are <b>10 spots</b> for a Club Dinner, so be sure to RSVP soon. If you miss this months Club Dinner, we'd love to see you at the next one!</p> <p> </p> <p><a href=""http://www.toddjurichsbistro.com/images_new/bistro%20logo%202006_r1_c1.jpg""><img src=""http://www.toddjurichsbistro.com/images_new/bistro%20logo%202006_r1_c1.jpg"" /></a></p> <p> </p> <p>I look forward to meeting you and having you meet other members!</p> <p>Thanks,<br/>Jayne</p> <p><img src=""http://img1.meetupstatic.com/img/smileys/smile.gif"" /></p> <p>PS: If you know of a nice local restaurant to put on the clubs calendar, I'd like to hear about it!</p> <p> </p> <p><i>For the sake of individual time management, all Meetups need at least 3 members committed to attending for it to take place. Please know that the hostess reserves the right to cancel an unpopular Meetup accordingly.<br/>Thank you for understanding!</i></p> <p><img src=""http://img1.meetupstatic.com/img/smileys/smile.gif"" /></p> <p> </p> <p> </p> <p> </p>",14.288237571716307,,https://www.meetup.com/TheGreaterBrunswickAreaWomensSocialClub/events/244410141/,,,,,,,1265756409000,43.90999984741211,-69.95999908447266,1596819,approval,The Greater Brunswick Area Women's Social Club,TheGreaterBrunswickAreaWomensSocialClub,Social Club Members,0,,qwrzdjyxjbcc,0,June Club Dinner @ Gritty's,,12.0,upcoming,1529618400000,1508613551000,-14400000,,,,,,,,,,,,,,,public,0,,5,2018-06-21 17:00:00,4,socializing
1293749701000,"<p>Chat. Share. Laugh.</p> <p>We're all in this together, in a weird sort of way. Let's find out what's next...</p>",3.1976537704467773,,https://www.meetup.com/818-iOS-Developers/events/245488840/,,,,,,,1293748917000,34.139999389648445,-118.38999938964844,1756300,open,"818 iOS Developers, Designers, and Enthusiasts",818-iOS-Developers,Enthusiasts,0,,fmscqywqbkb,0,818 iOS Developers Meetup,https://secure.meetupstatic.com/photos/event/6/8/3/1/global_20606673.jpeg,,upcoming,1512703800000,1296106067000,-28800000,12131 Ventura Blvd (at Laurel Cyn),,,Studio City,us,840114.0,34.143570000000004,USA,-118.395251,Panera Bakery Cafe,818-762-2266,False,CA,91604,public,0,,4,2017-12-07 21:30:00,4,tech
1376193253000,"<p>The entrance to the park is at the intersection of Walnut Bend and Germantown road across from a gas station (just south of Walnut Grove). There is a HUGE sign that says Gate 19, Shelby Farms. If you are at Lowes, head north. If you are at Wal-Mart or Trinity. head south.</p> <p><br/><b>What to Bring:</b></p> <p>Bring snacks, water, sunscreen, and a hat. Wear either sneakers or hiking boots and dress in layers. It is also good to bring a backpack if you wish to remove layers. Bring bug spray. This is an easy hike on well marked trails, perfect for those new to hiking. We hike between 2-4 hours. If you go the whole way out and back, it is just over 7 miles. We usually break into at least two groups (those going all the way and those going part), so don't feel like you have to do the whole 7 miles.</p> <p><b>The Park:</b></p> <p>Lucius Burch Natural Area is a 728-acre natural area located in Germantown and Shelby County and is a part of a larger 6,000-acre county park. The natural area is a remnant of historic river meanders, bald cypress-water tupelo swamps, bottomland hardwood forests, and open river channel habitat. Unfortunately, much of this ecosystem has been significantly altered as a result of change in hydrology and the invasion of common privet, an invasive exotic pest plant. Lucius Burch Natural Area offers passive recreation activities such as day hiking, bird watching, and wildlife viewing within the metropolitan Memphis area.</p> <p><b>Directions:</b></p> <p>The parking lot we meet at is just south of Germantown and Walnut Grove. Drive all the way into the back parking lot. <a href=""http://maps.google.com/maps/ms?ie=UTF8&amp;hl=en&amp;t=h&amp;msa=0&amp;msid=206003933507303071996.0004a2cacf2999b23a952&amp;ll=35.069345,-89.479523&amp;spn=0.386649,0.591888&amp;z=11"">Google Map</a> of our regular meetup locations.</p> <p><b>Finding the Group:</b></p> <p>Call me when you get there,[masked]-8270.</p>",14.077704429626465,12600000.0,https://www.meetup.com/MemphisOutdoors/events/245031629/,,,,,,,1210106868000,35.110000610351555,-89.94999694824219,1138444,open,Memphis Outdoor Adventures,MemphisOutdoors,Adventurers,0,"Call when you get there, if you can't find us - 901-485-8270",drwdngywqbmb,0,Lucius Burch Natural Area,,,upcoming,1512833400000,1391440653000,-21600000,430 S. Germantown Parkway,,,Cordova,us,864464.0,35.140608,USA,-89.795579,Lucius Burch Natural Area,http://www.tennessee.gov/environ,False,TN,38018,public,0,,7,2017-12-09 09:30:00,6,outdoors/adventure
1510780858000,"<p>Let's come together with new friends and celebrate the holidays, Merritt Island Social Club style!</p> <p>We've scheduled a private dining room at Brano's Italian Grill in Cocoa Beach for this event.</p> <p>Whether your celebrate Hanukkah, Christmas, Kwanza or any other festive holiday around this time, come on out, meet new friends, catch up with old friends and toast with us to the holiday season.</p> <p>We'll also try to have a small gift exchange for those that would like to participate. If you'd like to join, please bring a small wrapped/ bagged gift no more than around the $15-20 range.</p> <p>Please have your RSVPs updated by Friday, December 1st.</p>",8.392891883850098,,https://www.meetup.com/Merritt-Island-Social-Club/events/245141112/,,,,,,,1498677823000,28.34000015258789,-80.68000030517578,24737854,open,Merritt Island Social Club,Merritt-Island-Social-Club,Members,0,,245141112,0,Social Club Holiday Party,,,upcoming,1512775800000,1510781852000,-18000000,North Atlantic Road A1A,,,Cocoa Beach,us,21490872.0,28.36021,USA,-80.607742,BRANO's Italian on the A1A .,,False,FL,,public,0,,25,2017-12-08 17:30:00,5,socializing
1510346482000,"<p>Our weekly JavaScript study group in Culver City is dedicated to providing companionship as you work on personal projects! Share ideas, show off your app, and check out what others are up to as well! As a team, the JS sky is the limit!</p> <p>===================<br/>What to bring:<br/>===================<br/>• Your laptop and charger (or you can always share with someone else and do some pair programming)</p> <p>• Any books, pen/paper, whiteboards, or whatever you need to study</p> <p>• Money to purchase a snack or drink, as a kindness to Coffee Connection for letting us use their space and wifi for free! This helps ensure that we'll be welcomed back in the future. :)</p> <p>• Your curiosity and your excitement for learning, teaching, and coding with new friends!</p> <p>===================<br/>Parking / venue info:<br/>===================<br/>The Coffee Connection has a parking lot on the corner of Pacific and Centinela. There is also ample street parking in the neighborhood on Pacific!</p> <p>===================<br/>Free Resources:<br/>===================<br/>• Codecademy (<a href=""https://www.codecademy.com/learn"" class=""linkified"">https://www.codecademy.com/learn</a>)<br/>• Free Code Camp (<a href=""http://freecodecamp.com/"" class=""linkified"">http://freecodecamp.com/</a>)<br/>• JavaScript 30 (<a href=""https://javascript30.com/"" class=""linkified"">https://javascript30.com/</a>)<br/>• Nodeschool.io (<a href=""http://nodeschool.io/"" class=""linkified"">http://nodeschool.io/</a>)<br/>• Exercism.io (<a href=""http://exercism.io/"" class=""linkified"">http://exercism.io/</a>)<br/>• Eloquent JavaScript (<a href=""http://eloquentjavascript.net/"" class=""linkified"">http://eloquentjavascript.net/</a>)</p> <p>====================<br/>*** All attendees are expected to abide by the Girl Develop It Code of Conduct: <a href=""http://www.girldevelopit.com/codeofconduct"" class=""linkified"">http://www.girldevelopit.com/codeofconduct</a></p> <p>*** Want extra coding help? Join our chat room on Slack: <a href=""https://learnteachcode.herokuapp.com/"" class=""linkified"">https://learnteachcode.herokuapp.com/</a></p> <p>*** Want to get more involved? We always need more help! You can help with or host a study group, provide mentorship, or volunteer for other fun stuff. Let us know on Slack or in person!</p>",11.417426109313965,7200000.0,https://www.meetup.com/LearnTeachCode/events/245136793/,,,,,,,1422664219000,34.049999237060554,-118.2699966430664,18397331,open,Learn Teach Code LA,LearnTeachCode,curious coders,0,Look for the Learn Teach Code meetup sign and a friendly group of people with laptops!,jfrqbpywqbkb,0,Culver City JavaScript Study Group,https://secure.meetupstatic.com/photos/event/6/a/e/2/global_466047362.jpeg,25.0,upcoming,1512702000000,1512085773000,-28800000,3838 S. Centinela Ave,,,Los Angeles,us,24513571.0,34.003086,USA,-118.432762,Coffee Connection,,False,CA,,public,0,,15,2017-12-07 21:00:00,4,tech
1509634759000,<p>This is a meetup for new members that want to learn the game of Hong Kong Mahjong and/or members that want to practice our style of play before participating in recreational or tournament play.  3 Fan minimum.</p>,17.411117553710938,,https://www.meetup.com/Sacramento-Mah-Jong-Club/events/245077966/,,,,,,,1264204739000,38.70000076293945,-121.30999755859376,1587140,approval,Sacramento  Mah jong Club,Sacramento-Mah-Jong-Club,Mah Jong Players,0,,httrxnywqblb,0,New Member Meetup,,9.0,upcoming,1512786600000,1511968103000,-28800000,,,,,,,,,,,,,,,public,0,,5,2017-12-08 20:30:00,5,games
1484672805000,"<p>This LOFT's Lesbian Social Network (LSN)  is for those who identify as both women and lesbian, or who are partnered with someone who identifies as a woman and a lesbian.  Bi, questioning or queer?  Our doors are open!</p> <p><img src=""http://photos2.meetupstatic.com/photos/event/b/a/a/7/600_457607783.jpeg"" /></p> <p>LSN's emphasis is on socializing, making friends, and having fun in a self-affirming safe-space. We often feature guests covering a variety of interesting and important topics, and we also plan gatherings and outings off-site, often joining our entire LGBT family on various LOFT OUTings.</p> <p><br/>We meet every 2nd and 4th Friday of each month at The LOFT, 7:30pm-9:00pm.</p>",18.52474975585937,5400000.0,https://www.meetup.com/TheLOFTLGBTCenter/events/245597650/,,,,,,,1344889664000,41.0099983215332,-73.75,4538572,open,The LOFT: LGBT Community Services Center,TheLOFTLGBTCenter,LOFTies,0,,xbqdmmywqblb,0,Lesbian Social Network,,,upcoming,1512779400000,1484672805000,-18000000,,,,,,,,,,,,,,,public,0,,5,2017-12-08 18:30:00,5,LGBT
