census_aland,census_aland_sqmi,census_awater,census_awater_sqmi,census_diversity_score,census_educational_score,census_geoid,census_intptlat,census_intptlong,census_median_age,census_median_household_income,census_population,top_category
53731552,20.746,2717798,1.049,0.2331841058866057,5.121375674657964,01545,42.284767,-71.714228                                                                                                                                                ,40.5,94273.0,35963,Socializing
118316345,45.682,972969,0.376,0.01380670611439842,3.8395245170876673,65075,38.237326,-92.250624                                                                                                                                                ,37.9,64643.0,1014,Socializing
303225857,117.076,993181,0.383,0.13260676364656904,4.597581434363204,99224,47.652359,-117.526002                                                                                                                                              ,37.0,58789.0,21379,Socializing
86544801,33.415,740836,0.286,0.09751283063560996,4.536800785083416,32128,29.100739,-81.071829                                                                                                                                                 ,51.5,64367.0,17731,Socializing
45026795,17.385,236022,0.091,0.20216606498194944,5.3264248704663215,36013,32.284669,-85.985235                                                                                                                                                 ,40.5,127567.0,554,Others
46238667,17.853,170412,0.066,0.11067744633398384,3.8176047397376216,19365,39.966371,-75.925129                                                                                                                                                 ,38.7,63988.0,7174,Outdoors & Adventure
145206109,56.064,1502057,0.58,0.031988234212703366,4.112254259501967,53090,43.462856,-88.188952                                                                                                                                                ,39.5,65369.0,21758,Socializing
995678776,384.434,4697060,1.814,0.3241590214067278,3.1772151898734178,88038,33.121991,-108.383011                                                                                                                                             ,55.2,43565.0,327,Others
11069152,4.274,0,0.,0.991265478086626,3.5459163105700235,63115,38.682197,-90.239973                                                                                                                                                          ,38.4,24402.0,19463,Outdoors & Adventure
33758980,13.034,332587,0.128,0.2979525210592076,4.560806863257588,77070,29.979455,-95.573317                                                                                                                                                 ,33.1,69929.0,49622,Socializing
1445020867,557.926,4350288,1.68,0.08351648351648351,3.951332560834299,81624,39.15909,-107.74516                                                                                                                                               ,35.4,50515.0,1365,Tech
118944563,45.925,730027,0.282,0.9611283305371512,4.328016181304158,30349,33.622488,-84.523908                                                                                                                                                ,32.9,44987.0,70334,Socializing
104701569,40.426,1021186,0.394,0.037897928246589184,4.552649690295938,12581,41.901615,-73.700592                                                                                                                                               ,47.4,74688.0,1979,Outdoors & Adventure
19144198,7.392,123089,0.048,0.31110228175729365,5.13307651231978,75248,32.969699,-96.797334                                                                                                                                                  ,41.7,72735.0,35236,Socializing
201884963,77.948,5891259,2.275,0.042739253602660426,4.0810661256109935,49080,42.456426,-85.588337                                                                                                                                               ,41.3,55355.0,16238,Outdoors & Adventure
157094559,60.655,3748467,1.447,0.038958641063515514,3.500975745748536,46562,41.208342,-85.684898                                                                                                                                               ,39.2,51642.0,5416,Outdoors & Adventure
55947793,21.602,19090,0.007,0.0223463687150838,3.9669421487603302,50444,43.297226,-93.38363                                                                                                                                                   ,42.4,56458.0,358,Others
161484974,62.35,2574681,0.994,0.009704027171276079,3.8590694538098456,62451,38.971206,-87.611114                                                                                                                                                ,44.5,39350.0,2061,Career & Business
53391275,20.614,7664385,2.959,0.028635597978663677,4.176051318602993,12121,42.839897,-73.607392                                                                                                                                                ,48.5,67243.0,1781,Outdoors & Adventure
143211918,55.294,13213665,5.102,0.04024476347375853,3.740555487780082,33917,26.738607,-81.844783                                                                                                                                              ,59.4,40216.0,29743,Socializing
248865312,96.087,5461603,2.109,0.05410691003911343,4.300618921308576,03813,44.127489,-71.060702                                                                                                                                               ,44.4,58784.0,3068,Outdoors & Adventure
81138876,31.328,895470,0.346,0.0639470782800441,3.684210526315789,05652,44.723753,-72.610965                                                                                                                                                 ,37.8,62991.0,907,Tech
204270058,78.869,14184199,5.477,0.2388903159517082,3.7608272936185263,35096,33.620336,-86.107668                                                                                                                                              ,41.9,50766.0,7786,Tech
184999917,71.429,2017803,0.779,0.02920830130668716,3.7659340659340663,47561,38.863914,-87.438327                                                                                                                                               ,39.7,38235.0,1301,Others
39326772,15.184,58213906,22.477,0.027117696393625945,4.843169103049991,27949,36.108889,-75.76055                                                                                                                                               ,51.6,64852.0,7154,Socializing
17424211,6.728,95754,0.037,0.13502962384604786,5.038646333820765,06825,41.196583,-73.243254                                                                                                                                                   ,41.8,105017.0,21773,Tech
81531441,31.479,16887178,6.52,0.012867647058823529,4.426540284360191,54769,44.528229,-92.239712                                                                                                                                                ,52.1,52344.0,544,Outdoors & Adventure
159289738,61.502,1047997,0.405,0.06537450722733246,3.5108359133126936,53910,43.886678,-89.807748                                                                                                                                               ,49.0,33218.0,3044,Others
224270195,86.591,21425793,8.273,0.20650018362100625,3.6601092896174863,19966,38.579422,-75.277196                                                                                                                                              ,47.6,51581.0,27230,Socializing
82423256,31.824,216237,0.083,0.018924302788844626,4.130952380952381,05441,44.805549,-72.720243                                                                                                                                                 ,37.2,64423.0,1004,Tech
27391770,10.576,5564528,2.148,0.07364051860833877,4.1688100717476635,77627,29.986791,-94.009416                                                                                                                                                ,40.3,57065.0,21442,Career & Business
77763809,30.025,0,0.,0.05223880597014925,3.2752100840336134,37753,35.823135,-83.100397                                                                                                                                                         ,31.3,43875.0,804,Outdoors & Adventure
844531626,326.075,23257138,8.98,0.02139973082099596,3.1966121050628082,41179,38.552152,-83.376774                                                                                                                                              ,42.7,27770.0,7430,Career & Business
96822169,37.383,3577184,1.381,0.12700932724746974,5.013054830287206,23103,37.648034,-77.72364                                                                                                                                                 ,54.4,102476.0,5039,Career & Business
1076885,0.416,0,0.,0.8767463520645762,3.950686106346484,07088,40.717889,-74.286169                                                                                                                                                           ,42.0,43706.0,3221,Tech
141764534,54.736,40130026,15.494,0.08528155339805825,4.6972183309986,32459,30.360577,-86.185591                                                                                                                                             ,42.9,60372.0,12875,Outdoors & Adventure
5475895,2.114,2503,0.001,0.3849586655936792,3.8377388221390585,90804,33.781686,-118.148365                                                                                                                                                    ,30.1,44877.0,41007,Socializing
26331953,10.167,13041,0.005,0.3352817038291728,3.2720212206662525,91766,34.042286,-117.756106                                                                                                                                                 ,29.8,49895.0,72026,Socializing
537309991,207.457,21542044,8.317,0.020224719101123598,3.658333333333333,04768,46.82565,-68.865654                                                                                                                                              ,56.8,50139.0,445,Tech
344724363,133.099,1439541,0.556,0.2608695652173913,2.025,78075,28.626039,-98.377249                                                                                                                                              ,66.0,26691.0,92,Socializing
7015020,2.709,0,0.,0.1961449498843485,5.728872202591284,22205,38.883499,-77.139547                                                                                                                                                           ,38.5,162083.0,19455,Socializing
9465749305,3654.746,879427346,339.549,0.4107142857142857,3.941666666666667,99613,58.964708,-155.813864                                                                                                                                       ,30.6,74167.0,392,Tech
861175961,332.502,23871046,9.217,0.045228191458199084,4.026474844641185,55746,47.361847,-92.955661                                                                                                                                             ,41.0,44808.0,17069,Outdoors & Adventure
91830234,35.456,1439697,0.556,0.19166666666666668,3.5258442453480363,38658,34.188334,-89.901012                                                                                                                                                ,44.7,31522.0,1920,Tech
93051887,35.928,131898,0.051,0.7142857142857143,4.142045454545454,23876,36.955753,-77.83361                                                                                                                                                  ,37.8,58750.0,490,Career & Business
4633709,1.789,0,0.,0.1005586592178771,2.9230769230769234,78342,27.65992,-98.07572                                                                                                                                                             ,42.7,41429.0,358,Career & Business
16392714,6.329,3492,0.001,0.0,7.0,12441,42.134425,-74.509212                                                                                                                                                    ,49.5,116500.0,33,Outdoors & Adventure
252605057,97.531,46643,0.018,0.13813467770975876,3.668529664660361,61443,41.263671,-89.944897                                                                                                                                                 ,39.0,39818.0,13885,Outdoors & Adventure
646316848,249.544,529945,0.205,0.04536862003780719,4.591483699268131,81326,37.156378,-108.187079                                                                                                                                              ,47.3,52857.0,2116,Others
3401216,1.313,0,0.,0.8704512372634643,3.2627599243856333,28007,35.10459,-80.109911                                                                                                                                                            ,48.1,29375.0,687,Socializing
108410066,41.857,2799366,1.081,0.0961408259986459,4.727457077193457,95946,39.215586,-121.20324                                                                                                                                               ,52.3,62029.0,10339,Outdoors & Adventure
6893904,2.662,1362,0.001,0.6294650790829928,2.876753571199795,90061,33.92128,-118.274186                                                                                                                                                     ,28.0,33731.0,28135,Socializing
9263143,3.577,3978768,1.536,0.0,5.045977011494252,23021,37.389948,-76.373522                                                                                                                                                  ,61.3,85870.0,280,Socializing
6946824,2.682,81405,0.031,0.17195273631840796,5.491864249186425,06089,41.833449,-72.824592                                                                                                                                                    ,42.5,99738.0,3216,Outdoors & Adventure
277936294,107.312,1070746,0.413,0.019197207678883072,3.8558590941768514,16743,41.767638,-78.232975                                                                                                                                              ,43.9,41607.0,4011,Outdoors & Adventure
71832150,27.735,109131,0.042,0.027777777777777776,3.2058823529411766,13832,42.65813,-75.672216                                                                                                                                                  ,39.5,33415.0,756,Outdoors & Adventure
240864679,92.998,4098848,1.583,0.08870433465833806,3.8718598501542525,65803,37.283189,-93.289821                                                                                                                                               ,34.6,35052.0,42264,Outdoors & Adventure
72163664,27.863,0,0.,0.0,3.2625,61772,40.381256,-89.065969                                                                                                                                                         ,48.2,50139.0,311,Outdoors & Adventure
247916474,95.721,7218298,2.787,0.013908205841446454,4.574239713774596,99113,46.59349,-117.189782                                                                                                                                               ,50.1,61838.0,719,Outdoors & Adventure
36641975,14.148,3865955,1.493,0.09491581379993397,4.6512758201701105,57049,42.523328,-96.509711                                                                                                                                                ,41.4,72422.0,6058,Tech
152443915,58.859,1255483,0.485,0.11602497398543185,3.5725190839694663,75431,33.01419,-95.460935                                                                                                                                                ,38.4,36094.0,1922,Career & Business
1212925401,468.313,6901928,2.665,0.049206349206349205,4.117813844348846,59840,46.185468,-114.193658                                                                                                                                            ,48.4,35466.0,13860,Outdoors & Adventure
316298134,122.123,1417741,0.547,0.18357389713356373,4.60977127742337,81632,39.629202,-106.607633                                                                                                                                             ,34.3,74086.0,9838,Outdoors & Adventure
12496668,4.825,7442,0.003,0.4054282013434949,4.5182133158535445,91325,34.237519,-118.517712                                                                                                                                                   ,34.6,60774.0,33197,Socializing
631624024,243.871,11318,0.004,0.0,3.728531855955679,81331,37.445868,-108.907291                                                                                                                                               ,59.0,29152.0,388,Others
385609891,148.885,29578450,11.42,0.1315150649721548,3.326388888888889,29655,34.264095,-82.640492                                                                                                                                             ,42.6,33500.0,7003,Socializing
220405064,85.099,871807,0.337,0.05663117134559535,3.6619047619047618,64671,39.531881,-94.050775                                                                                                                                                ,44.6,50446.0,2066,Socializing
19824068,7.654,0,0.,0.011013215859030838,3.5902668759811616,41528,37.548983,-82.139905                                                                                                                                                          ,36.3,30689.0,908,Tech
